"from","to","database","source"
"ALKAL1","LTK","omnipath","omnipath"
"ALKAL2","ALK","omnipath","omnipath"
"ALKAL2","LTK","omnipath","omnipath"
"ALOX5AP","ALOX5","nichenet_verschueren","nichenet_verschueren"
"AMBN","CD63","omnipath","omnipath"
"AMELX","LAMP1","omnipath","omnipath"
"AMELX","CD63","omnipath","omnipath"
"AMELX","LAMP2","omnipath","omnipath"
"AMELY","CD63","omnipath","omnipath"
"AMELY","LAMP1","omnipath","omnipath"
"AMELY","LAMP2","omnipath","omnipath"
"AMH","AMHR2","omnipath","omnipath"
"AMH","ACVR1","omnipath","omnipath"
"AMH","EGFR","omnipath","omnipath"
"AMH","GREM2","omnipath","omnipath"
"AMH","BMPR1A","omnipath","omnipath"
"AMH","BMPR1B","omnipath","omnipath"
"ANG","EGFR","omnipath","omnipath"
"ANG","PLXNB2","omnipath","omnipath"
"ANGPT1","TEK","omnipath","omnipath"
"ANGPT1","TIE1","omnipath","omnipath"
"ANGPT1","ITGA5","omnipath","omnipath"
"ANGPT1","ITGB1","omnipath","omnipath"
"ANGPT2","TEK","omnipath","omnipath"
"ANGPT2","TIE1","omnipath","omnipath"
"ANGPT2","ITGA5","omnipath","omnipath"
"ANGPT2","ITGB1","omnipath","omnipath"
"ANGPT4","TEK","omnipath","omnipath"
"ANGPT4","TIE1","omnipath","omnipath"
"ANGPTL1","TEK","omnipath","omnipath"
"ANGPTL1","LILRB3","omnipath","omnipath"
"ANGPTL1","LILRB2","omnipath","omnipath"
"ANGPTL1","ITGA1","omnipath","omnipath"
"ANGPTL1","ITGB1","omnipath","omnipath"
"ANGPTL2","LILRB2","omnipath","omnipath"
"ANGPTL2","TIE1","omnipath","omnipath"
"ANGPTL2","TLR4","omnipath","omnipath"
"ANGPTL2","LILRB3","omnipath","omnipath"
"ANGPTL2","ITGA5","omnipath","omnipath"
"ANGPTL2","ITGB1","omnipath","omnipath"
"ANGPTL3","ITGB3","omnipath","omnipath"
"ANGPTL3","ITGAV","omnipath","omnipath"
"ANGPTL3","ITGA5","omnipath","omnipath"
"ANGPTL3","LPL","omnipath","omnipath"
"ANGPTL4","GPIHBP1","omnipath","omnipath"
"ANGPTL4","TIE1","omnipath","omnipath"
"ANGPTL4","CDH5","omnipath","omnipath"
"ANGPTL4","CDH11","omnipath","omnipath"
"ANGPTL4","SDC1","omnipath","omnipath"
"ANGPTL4","SDC2","omnipath","omnipath"
"ANGPTL4","SDC3","omnipath","omnipath"
"ANGPTL4","SDC4","omnipath","omnipath"
"ANGPTL4","LPL","omnipath","omnipath"
"ANGPTL4","ITGA5","omnipath","omnipath"
"ANGPTL4","ITGB1","omnipath","omnipath"
"ANGPTL4","ITGAV","omnipath","omnipath"
"ANGPTL4","ITGB3","omnipath","omnipath"
"ANGPTL5","TEK","omnipath","omnipath"
"ANGPTL6","TEK","omnipath","omnipath"
"ANGPTL7","LILRB3","omnipath","omnipath"
"ANGPTL7","LILRB2","omnipath","omnipath"
"ANOS1","SDC2","omnipath","omnipath"
"ANOS1","FGFR1","omnipath","omnipath"
"ANPEP","SELE","omnipath","omnipath"
"ANTXR1","TREML2","nichenet_verschueren","nichenet_verschueren"
"ANXA1","FPR2","omnipath","omnipath"
"ANXA1","FPR3","omnipath","omnipath"
"ANXA1","EGFR","omnipath","omnipath"
"ANXA1","FPR1","omnipath","omnipath"
"ANXA1","DYSF","omnipath","omnipath"
"ANXA2","ROBO4","omnipath","omnipath"
"ANXA2","TLR2","omnipath","omnipath"
"ANXA2","DYSF","omnipath","omnipath"
"ANXA2","EGFR","omnipath","omnipath"
"ANXA2","PLAT","omnipath","omnipath"
"APELA","APLNR","omnipath","omnipath"
"APLN","APLNR","omnipath","omnipath"
"APLN","GRM7","omnipath","omnipath"
"APOA1","ABCA1","omnipath","omnipath"
"APOA1","LRP2","omnipath","omnipath"
"APOA1","LDLR","omnipath","omnipath"
"APOA1","LRP1","omnipath","omnipath"
"APOA2","LDLR","omnipath","omnipath"
"APOA2","LRP1","omnipath","omnipath"
"APOA2","LRP2","omnipath","omnipath"
"APOA4","LDLR","omnipath","omnipath"
"APOA4","LRP1","omnipath","omnipath"
"APOA4","LRP2","omnipath","omnipath"
"APOA5","LPL","omnipath","omnipath"
"APOB","LDLR","omnipath","omnipath"
"APOB","ITGAM","omnipath","omnipath"
"APOB","OLR1","omnipath","omnipath"
"APOB","LRP2","omnipath","omnipath"
"APOB","VLDLR","omnipath","omnipath"
"APOB","CALCR","omnipath","omnipath"
"APOB","LSR","omnipath","omnipath"
"APOB","ADRB2","omnipath","omnipath"
"APOB","TLR6","omnipath","omnipath"
"APOB","LRP1","omnipath","omnipath"
"APOB","ITGB2","omnipath","omnipath"
"APOB","TLR4","omnipath","omnipath"
"APOB","LRP8","omnipath","omnipath"
"APOB","TREM2","omnipath","omnipath"
"APOC1","VLDLR","omnipath","omnipath"
"APOC2","LDLR","omnipath","omnipath"
"APOC2","LRP1","omnipath","omnipath"
"APOC2","LRP2","omnipath","omnipath"
"APOC2","LPL","omnipath","omnipath"
"APOC3","LRP2","omnipath","omnipath"
"APOC3","LDLR","omnipath","omnipath"
"APOC3","LRP1","omnipath","omnipath"
"APOC3","SDC2","omnipath","omnipath"
"APOC3","TLR2","omnipath","omnipath"
"APOC4","VLDLR","omnipath","omnipath"
"APOD","LEPR","omnipath","omnipath"
"APOE","VLDLR","omnipath","omnipath"
"APOE","SORL1","omnipath","omnipath"
"APOE","LRP2","omnipath","omnipath"
"APOE","LDLR","omnipath","omnipath"
"APOE","LRP5","omnipath","omnipath"
"APOE","TREM2","omnipath","omnipath"
"APOE","SCARB1","omnipath","omnipath"
"APOE","LRP8","omnipath","omnipath"
"APOE","LRP1","omnipath","omnipath"
"APOE","APP","omnipath","omnipath"
"APOO","IL1RAPL2","omnipath","omnipath"
"APOO","IL1RAPL1","omnipath","omnipath"
"APP","FLT1","nichenet_verschueren","nichenet_verschueren"
"APP","BACE1","omnipath","omnipath"
"APP","FPR2","omnipath","omnipath"
"APP","TNFRSF21","omnipath","omnipath"
"APP","NCSTN","omnipath","omnipath"
"APP","CD74","omnipath","omnipath"
"APP","NGFR","omnipath","omnipath"
"APP","LRP1","omnipath","omnipath"
