"from","to","database","source"
"Adm","Mrgpra3","nichenet_verschueren","nichenet_verschueren"
"Adm","Mrgprb3","nichenet_verschueren","nichenet_verschueren"
"Adm","Mrgprb1","nichenet_verschueren","nichenet_verschueren"
"Adm","Ramp1","omnipath","omnipath"
"Adm","Ramp2","omnipath","omnipath"
"Adm","Ramp3","omnipath","omnipath"
"Adm2","Adcyap1r1","omnipath","omnipath"
"Adm2","Adrb2","omnipath","omnipath"
"Adm2","Adrb3","omnipath","omnipath"
"Adm2","Calcr","omnipath","omnipath"
"Adm2","Calcrl","omnipath","omnipath"
"Adm2","Gpr20","omnipath","omnipath"
"Adm2","Gpr84","omnipath","omnipath"
"Adm2","Pth1r","omnipath","omnipath"
"Adm2","Ramp1","omnipath","omnipath"
"Adm2","Ramp2","omnipath","omnipath"
"Adm2","Ramp3","omnipath","omnipath"
"Adm2","Tshr","omnipath","omnipath"
"Adm2","Vipr1","omnipath","omnipath"
"Agrn","Atp1a3","omnipath","omnipath"
"Agrn","Chrnb3","omnipath","omnipath"
"Agrn","Dag1","omnipath","omnipath"
"Agrn","Itgb1","omnipath","omnipath"
"Agrn","Lrp1","omnipath","omnipath"
"Agrn","Lrp2","omnipath","omnipath"
"Agrn","Lrp4","omnipath","omnipath"
"Agrn","Musk","omnipath","omnipath"
"Agrp","Mc3r","omnipath","omnipath"
"Agrp","Mc4r","omnipath","omnipath"
"Agrp","Mc5r","omnipath","omnipath"
"Agrp","Sdc3","omnipath","omnipath"
"Agt","Agtr1a","omnipath","omnipath"
"Agt","Agtr1b","omnipath","omnipath"
"Agt","Agtr2","omnipath","omnipath"
"Agt","Lrp2","omnipath","omnipath"
"Agt","Mas1","omnipath","omnipath"
"Agt","Ren1","omnipath","omnipath"
"Ahsg","Insr","omnipath","omnipath"
"Aimp1","Ntrk1","omnipath","omnipath"
"Alb","Lrp2","omnipath","omnipath"
"Alcam","Alcam","nichenet_verschueren","nichenet_verschueren"
"Alcam","Cd6","omnipath","omnipath"
"Alcam","Chl1","omnipath","omnipath"
"Alcam","Nrp1","omnipath","omnipath"
"Alkal1","Alk","omnipath","omnipath"
"Alkal1","Ltk","omnipath","omnipath"
